Timestamp,Temperature,Methane,Food Type,Spoilage Status,Methane Status Message,Temperature Status Message,Storage Status Message,Ammonia Status Message
"December 04, 2024, 04:44 PM",29.6,0.0,menudo,food_is_fresh,Methane level is within safe limits.,Temperature is within the safe range.,Food storage time is within the recommended duration.,
"December 04, 2024, 04:44 PM",29.7,0.0,menudo,food_is_fresh,Methane level is within safe limits.,Temperature is within the safe range.,Food storage time is within the recommended duration.,
"December 04, 2024, 04:44 PM",29.7,0.0,menudo,food_is_fresh,Methane level is within safe limits.,Temperature is within the safe range.,Food storage time is within the recommended duration.,
"December 04, 2024, 04:45 PM",29.7,0.0,menudo,food_is_fresh,Methane level is within safe limits.,Temperature is within the safe range.,Food storage time is within the recommended duration.,
"December 04, 2024, 04:45 PM",29.7,0.0,menudo,food_is_fresh,Methane level is within safe limits.,Temperature is within the safe range.,Food storage time is within the recommended duration.,
"December 04, 2024, 04:45 PM",29.7,0.0,menudo,food_is_fresh,Methane level is within safe limits.,Temperature is within the safe range.,Food storage time is within the recommended duration.,
"December 04, 2024, 04:46 PM",29.7,0.0,menudo,food_is_fresh,Methane level is within safe limits.,Temperature is within the safe range.,Food storage time is within the recommended duration.,
"December 04, 2024, 04:46 PM",29.7,0.0,menudo,food_is_fresh,Methane level is within safe limits.,Temperature is within the safe range.,Food storage time is within the recommended duration.,
"December 04, 2024, 04:46 PM",29.7,0.0,menudo,food_is_fresh,Methane level is within safe limits.,Temperature is within the safe range.,Food storage time is within the recommended duration.,
"December 04, 2024, 04:46 PM",29.6,0.0,menudo,food_is_fresh,Methane level is within safe limits.,Temperature is within the safe range.,Food storage time is within the recommended duration.,
"December 04, 2024, 04:46 PM",29.6,0.0,menudo,food_is_fresh,Methane level is within safe limits.,Temperature is within the safe range.,Food storage time is within the recommended duration.,
"December 04, 2024, 04:46 PM",29.6,0.0,menudo,food_is_fresh,Methane level is within safe limits.,Temperature is within the safe range.,Food storage time is within the recommended duration.,
"December 04, 2024, 04:46 PM",29.6,0.0,menudo,food_is_fresh,Methane level is within safe limits.,Temperature is within the safe range.,Food storage time is within the recommended duration.,
